elevation,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
1599.525765,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
322.1410497,CAN,Canada,CAN.8_1,Nunavut,Territory
171.4329366,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
297.7884061,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory
1425.953174,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune
373.2858708,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory
345.4323297,CAN,Canada,CAN.6_1,Northwest Territories,Territory
386.9984136,RUS,Russia,RUS.60_1,Sakha,Republic
56.01257614,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province
2024.295826,GRL,Greenland,GRL.5_1,Sermersooq,Commune
353.9151214,RUS,Russia,RUS.12_1,Chukot,Autonomous Province
459.0807349,USA,United States,USA.2_1,Alaska,State
458,SJM,Svalbard and Jan Mayen,SJM.1_1,Jan Mayen,Territory
326.2615012,NOR,Norway,NOR.5_1,Finnmark,County
85.65143699,RUS,Russia,RUS.46_1,Nenets,Autonomous Province
506.875,NOR,Norway,NOR.17_1,Troms,County
249.0184941,FIN,Finland,FIN.2_1,Lapland,Province
194.9638989,RUS,Russia,RUS.45_1,Murmansk,Region
994.3290057,CAN,Canada,CAN.13_1,Yukon,Territory
483.3811189,NOR,Norway,NOR.10_1,Nordland,County
461.5345269,SWE,Sweden,SWE.10_1,Norrbotten,County
170.9137807,RUS,Russia,RUS.32_1,Komi,Republic
1321.790576,GRL,Greenland,GRL.4_1,Qeqqata,Commune
119.3691216,RUS,Russia,RUS.26_1,Karelia,Republic
335.125,ISL,Iceland,ISL.7_1,Vestfirðir,Region
596.3202614,ISL,Iceland,ISL.2_1,Hálshreppur,Region
163.6882494,FIN,Finland,FIN.3_1,Oulu,Province
409.2647059,SWE,Sweden,SWE.18_1,Västerbotten,County
630.2651593,RUS,Russia,RUS.40_1,Maga Buryatdan,Region
497.4588235,ISL,Iceland,ISL.4_1,Norðurland vestra,Region
600.4248366,ISL,Iceland,ISL.1_1,Austurland,Region
88.60604211,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province
350.03125,ISL,Iceland,ISL.8_1,Vesturland,Region
402.1835443,NOR,Norway,NOR.9_1,Nord-Trøndelag,County
521.8591954,SWE,Sweden,SWE.6_1,Jämtland,County
525.3333333,ISL,Iceland,ISL.5_1,Suðurland,Region
392.8677331,RUS,Russia,RUS.24_1,Kamchatka,Territory
232.1666667,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region
546.9047619,NOR,Norway,NOR.15_1,Sør-Trøndelag,County
618.5429403,RUS,Russia,RUS.18_1,Irkutsk,Region
102.8815081,FIN,Finland,FIN.5_1,Western Finland,Province
120.4,ISL,Iceland,ISL.6_1,Suðurnes,Independent Town
232.0068493,SWE,Sweden,SWE.19_1,Västernorrland,County
121.6982544,FIN,Finland,FIN.1_1,Eastern Finland,Province
340.0583794,CAN,Canada,CAN.11_1,Québec,Province
569.7623762,NOR,Norway,NOR.8_1,Møre og Romsdal,County
957.6014493,GRL,Greenland,GRL.1_1,Kujalleq,Commune
644.3952096,NOR,Norway,NOR.6_1,Hedmark,County
591.1108861,RUS,Russia,RUS.28_1,Khabarovsk,Territory
252,FRO,Faroe Islands,FRO.1_1,Eysturoyar,Region
159,FRO,Faroe Islands,FRO.2_1,Norderøerne,Region
970.6622517,NOR,Norway,NOR.11_1,Oppland,County
199.3504274,SWE,Sweden,SWE.3_1,Gävleborg,County
149,FRO,Faroe Islands,FRO.6_1,Vågø,Region
218,FRO,Faroe Islands,FRO.4_1,Streymoyar,Region
383.8131868,SWE,Sweden,SWE.2_1,Dalarna,County
812.8333333,NOR,Norway,NOR.14_1,Sogn og Fjordane,County
184.7314126,RUS,Russia,RUS.66_1,Sverdlovsk,Region
61.97058824,FIN,Finland,FIN.4_1,Southern Finland,Province
147.5,FRO,Faroe Islands,FRO.5_1,Suðuroyar,Region
157.5457746,RUS,Russia,RUS.78_1,Vologda,Region
233.810307,RUS,Russia,RUS.55_1,Perm',Territory
71.23694779,RUS,Russia,RUS.38_1,Leningrad,Region
689.5824176,NOR,Norway,NOR.7_1,Hordaland,County
739.0804598,NOR,Norway,NOR.4_1,Buskerud,County
190.2096774,SWE,Sweden,SWE.17_1,Värmland,County
165.4842105,RUS,Russia,RUS.31_1,Kirov,Region
108.4590258,RUS,Russia,RUS.69_1,Tomsk,Region
237.0541176,GBR,United Kingdom,GBR.3_1,Scotland,Kingdom
354.2584442,CAN,Canada,CAN.5_1,Newfoundland and Labrador,Province
27.91111111,SWE,Sweden,SWE.16_1,Uppsala,County
223.8965517,NOR,Norway,NOR.1_1,Akershus,County
15,ALA,Åland,ALA.5_1,Geta,Municipality
75.61904762,SWE,Sweden,SWE.20_1,Västmanland,County
6,ALA,Åland,ALA.2_1,Eckerö,Municipality
6,ALA,Åland,ALA.6_1,Hammarland,Municipality
8,ALA,Åland,ALA.3_1,Finström,Municipality
16.5,ALA,Åland,ALA.15_1,Sund,Municipality
8,ALA,Åland,ALA.16_1,Vårdö,Municipality
33.63636364,RUS,Russia,RUS.14_1,City of St. Petersburg,City
696.1136364,NOR,Norway,NOR.16_1,Telemark,County
248.5,NOR,Norway,NOR.12_1,Oslo,County
31.25641026,SWE,Sweden,SWE.15_1,Stockholm,County
11,ALA,Åland,ALA.12_1,Mariehamn,Municipality
10,ALA,Åland,ALA.10_1,Lemland,Municipality
7,ALA,Åland,ALA.11_1,Lumparland,Municipality
6,ALA,Åland,ALA.4_1,Föglö,Municipality
1108.986376,CAN,Canada,CAN.2_1,British Columbia,Province
751.8164838,CAN,Canada,CAN.1_1,Alberta,Province
517.655914,CAN,Canada,CAN.12_1,Saskatchewan,Province
255.2708143,CAN,Canada,CAN.3_1,Manitoba,Province
142.7962963,SWE,Sweden,SWE.11_1,Orebro,County
10,ALA,Åland,ALA.8_1,Kökar,Municipality
85.12703963,RUS,Russia,RUS.73_1,Tyumen',Region
478.52,NOR,Norway,NOR.13_1,Rogaland,County
127.1428571,NOR,Norway,NOR.2_1,Ãstfold,County
567.8235294,NOR,Norway,NOR.3_1,Aust-Agder,County
120.9230769,NOR,Norway,NOR.19_1,Vestfold,County
45,EST,Estonia,EST.1_1,Harju,County
90.8,EST,Estonia,EST.6_1,Lääne-Viru,County
151.1946903,RUS,Russia,RUS.33_1,Kostroma,Region
44.04878049,SWE,Sweden,SWE.14_1,Södermanland,County
55.47368421,EST,Estonia,EST.3_1,Ida-Viru,County
120.4842767,SWE,Sweden,SWE.21_1,Västra Götaland,County
81.125,EST,Estonia,EST.4_1,Järva,County
112.276873,RUS,Russia,RUS.49_1,Novgorod,Region
426.6590909,NOR,Norway,NOR.18_1,Vest-Agder,County
19.375,EST,Estonia,EST.2_1,Hiiu,County
19.92307692,EST,Estonia,EST.7_1,Lääne,County
55.5,EST,Estonia,EST.11_1,Rapla,County
105.2615385,SWE,Sweden,SWE.12_1,Östergötland,County
70.46153846,EST,Estonia,EST.5_1,Jõgeva,County
30.45454545,EST,Estonia,EST.9_1,Peipsi,Water body
111.7744108,RUS,Russia,RUS.57_1,Pskov,Region
137.9533679,RUS,Russia,RUS.81_1,Yaroslavl',Region
186.7315436,RUS,Russia,RUS.72_1,Tver',Region
18.92857143,EST,Estonia,EST.12_1,Saare,County
29,EST,Estonia,EST.8_1,Pärnu,County
64.33333333,EST,Estonia,EST.15_1,Viljandi,County
55.76470588,EST,Estonia,EST.13_1,Tartu,County
173.0135747,RUS,Russia,RUS.74_1,Udmurt,Republic
105.2713499,RUS,Russia,RUS.51_1,Omsk,Region
962.5845411,RUS,Russia,RUS.83_1,Zabaykal'ye,Territory
221.442623,SWE,Sweden,SWE.7_1,Jönköping,County
86.38709677,SWE,Sweden,SWE.8_1,Kalmar,County
87.36363636,EST,Estonia,EST.14_1,Valga,County
71.22222222,EST,Estonia,EST.10_1,Põlva,County
27.7,SWE,Sweden,SWE.4_1,Gotland,County
53.11666667,LVA,Latvia,LVA.3_1,Riga,Province
121.0379747,LVA,Latvia,LVA.4_1,Vidzeme,Province
126.3333333,EST,Estonia,EST.16_1,Võru,County
131.1421189,RUS,Russia,RUS.47_1,Nizhegorod,Region
52.48684211,LVA,Latvia,LVA.1_1,Kurzeme,Province
22.04081633,DNK,Denmark,DNK.3_1,Nordjylland,Region
122.0330579,RUS,Russia,RUS.19_1,Ivanovo,Region
102.4516129,SWE,Sweden,SWE.5_1,Halland,County
133.8961039,LVA,Latvia,LVA.2_1,Latgale,Province
123.664,RUS,Russia,RUS.41_1,Mariy-El,Republic
174.5531915,SWE,Sweden,SWE.9_1,Kronoberg,County
141.1044444,RUS,Russia,RUS.50_1,Novosibirsk,Region
1147.976959,RUS,Russia,RUS.9_1,Buryat,Republic
172.340249,RUS,Russia,RUS.44_1,Moskva,Region
541.9,RUS,Russia,RUS.3_1,Amur,Region
247.0230518,CAN,Canada,CAN.9_1,Ontario,Province
39.57352941,DNK,Denmark,DNK.2_1,Midtjylland,Region
68.81818182,LVA,Latvia,LVA.5_1,Zemgale,Province
136.2147651,RUS,Russia,RUS.76_1,Vladimir,Region
136.2815789,RUS,Russia,RUS.36_1,Kurgan,Region
370.5,RUS,Russia,RUS.27_1,Kemerovo,Region
136.8295455,RUS,Russia,RUS.68_1,Tatarstan,Republic
71.35,SWE,Sweden,SWE.13_1,Skåne,County
73.25,SWE,Sweden,SWE.1_1,Blekinge,County
122,LTU,Lithuania,LTU.8_1,Telšiai,County
322.1638655,RUS,Russia,RUS.6_1,Bashkortostan,Republic
37.62068966,LTU,Lithuania,LTU.3_1,Klaipedos,County
97.35555556,LTU,Lithuania,LTU.6_1,Šiauliai,County
74.275,LTU,Lithuania,LTU.5_1,Panevezio,County
140.6597938,RUS,Russia,RUS.13_1,Chuvash,Republic
334.7100457,RUS,Russia,RUS.11_1,Chelyabinsk,Region
32.93333333,DNK,Denmark,DNK.1_1,Hovedstaden,Region
162.6715686,BLR,Belarus,BLR.6_1,Vitsyebsk,Region
31.60294118,DNK,Denmark,DNK.5_1,Syddanmark,Region
20.36842105,DNK,Denmark,DNK.4_1,Sjælland,Region
210.3076923,RUS,Russia,RUS.64_1,Smolensk,Region
163.2857143,RUS,Russia,RUS.43_1,Moscow City,City
110.4009662,GBR,United Kingdom,GBR.1_1,England,Kingdom
145.5833333,LTU,Lithuania,LTU.9_1,Utenos,County
73.52631579,LTU,Lithuania,LTU.7_1,Taurages,County
82.31111111,LTU,Lithuania,LTU.2_1,Kauno,County
152.173913,LTU,Lithuania,LTU.10_1,Vilniaus,County
128.3461538,IRL,Ireland,IRL.5_1,Donegal,County
42.5942029,RUS,Russia,RUS.21_1,Kaliningrad,Region
201.415493,RUS,Russia,RUS.23_1,Kaluga,Region
136.7411168,RUS,Russia,RUS.59_1,Ryazan',Region
168.6837782,KAZ,Kazakhstan,KAZ.7_1,North Kazakhstan,Region
884.8927336,RUS,Russia,RUS.29_1,Khakass,Republic
121.5797101,GBR,United Kingdom,GBR.2_1,Northern Ireland,Province
80.57142857,LTU,Lithuania,LTU.4_1,Marijampoles,County
170.2824427,RUS,Russia,RUS.42_1,Mordovia,Republic
160.5590551,BLR,Belarus,BLR.3_1,Hrodna,Region
182.1262626,BLR,Belarus,BLR.5_1,Minsk,Region
22.02666667,DEU,Germany,DEU.15_1,Schleswig-Holstein,State
101.7717391,POL,Poland,POL.11_1,Pomorskie,Province|Voivodeship
211.5555556,RUS,Russia,RUS.70_1,Tula,Region
171.4725275,RUS,Russia,RUS.75_1,Ul'yanovsk,Region
115.1115385,RUS,Russia,RUS.62_1,Samara,Region
200.6449893,KAZ,Kazakhstan,KAZ.10_1,Qostanay,Region
114.4545455,IRL,Ireland,IRL.21_1,Sligo,County
128.2857143,IRL,Ireland,IRL.12_1,Leitrim,County
38.01818182,DEU,Germany,DEU.8_1,Mecklenburg-Vorpommern,State
71.17857143,POL,Poland,POL.16_1,Zachodniopomorskie,Province|Voivodeship
125.7094017,POL,Poland,POL.14_1,Warmińsko-Mazurskie,Province|Voivodeship
129.5769231,LTU,Lithuania,LTU.1_1,Alytaus,County
169.6713287,BLR,Belarus,BLR.4_1,Mahilyow,Region
189.375,KAZ,Kazakhstan,KAZ.8_1,Pavlodar,Region
77.2,IRL,Ireland,IRL.16_1,Mayo,County
111.8,IRL,Ireland,IRL.2_1,Cavan,County
105.6,IRL,Ireland,IRL.18_1,Monaghan,County
168,IMN,Isle of Man,IMN.4_1,Michael, 
197,IMN,Isle of Man,IMN.2_1,Garff, 
145.7916667,POL,Poland,POL.10_1,Podlaskie,Province|Voivodeship
215.7214765,RUS,Russia,RUS.53_1,Orenburg,Region
278.8546366,RUS,Russia,RUS.2_1,Altay,Territory
203.374359,RUS,Russia,RUS.61_1,Sakhalin,Region
76.63636364,IRL,Ireland,IRL.20_1,Roscommon,County
128,IMN,Isle of Man,IMN.6_1,Rushen, 
43,IRL,Ireland,IRL.15_1,Louth,County
177.6890244,RUS,Russia,RUS.8_1,Bryansk,Region
214.8899522,RUS,Russia,RUS.54_1,Penza,Region
67.83333333,IRL,Ireland,IRL.14_1,Longford,County
76.75,IRL,Ireland,IRL.17_1,Meath,County
69.7173913,DEU,Germany,DEU.9_1,Niedersachsen,State
91.35714286,POL,Poland,POL.2_1,Kujawsko-Pomorskie,Province|Voivodeship
157.0411765,RUS,Russia,RUS.67_1,Tambov,Region
1537.267089,RUS,Russia,RUS.71_1,Tuva,Republic
70,IRL,Ireland,IRL.7_1,Galway,County
81.66666667,IRL,Ireland,IRL.24_1,Westmeath,County
133.25,IRL,Ireland,IRL.6_1,Dublin,County
3.333333333,DEU,Germany,DEU.5_1,Bremen,State
21.4,DEU,Germany,DEU.6_1,Hamburg,State
102.1034483,POL,Poland,POL.15_1,Wielkopolskie,Province|Voivodeship
214.1016949,RUS,Russia,RUS.52_1,Orel,Region
322.7155425,KAZ,Kazakhstan,KAZ.2_1,Aqmola,Region
95.2,IRL,Ireland,IRL.9_1,Kildare,County
